Tesisat;T1;T2;T3;RI;RC;;;;;;;;;
700799919;"175,585 ";"77,335 ";"165,368 ";"0,000 ";"0,000 ";;;;;;;;;
23679190;"4939,718 ";"4117,425 ";"6830,075 ";"0,000 ";"0,000 ";;;;;;;;;
23982710;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700199200;"2943,089 ";"1373,049 ";"1390,977 ";"0,000 ";"0,000 ";;;;;;;;;
700208359;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
22811118;"575,610 ";"368,286 ";"318,375 ";"0,000 ";"0,000 ";;;;;;;;;
23616563;"4639,442 ";"3077,910 ";"1615,360 ";"0,000 ";"0,000 ";;;;;;;;;
23618034;"2351,388 ";"1273,032 ";"1170,133 ";"0,000 ";"0,000 ";;;;;;;;;
23622951;"371,352 ";"179,225 ";"264,392 ";"0,000 ";"0,000 ";;;;;;;;;
23627053;"3874,311 ";"2500,475 ";"2847,122 ";"0,000 ";"0,000 ";;;;;;;;;
23198994;"1989,415 ";"1124,511 ";"1230,077 ";"0,000 ";"0,000 ";;;;;;;;;
23210188;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23843266;"17007,689 ";"8498,694 ";"14335,581 ";"0,000 ";"0,000 ";;;;;;;;;
23618229;"6487,870 ";"4032,121 ";"4961,109 ";"0,000 ";"0,000 ";;;;;;;;;
700657308;"1117,422 ";"840,614 ";"732,095 ";"0,000 ";"0,000 ";;;;;;;;;
23204338;"2319,031 ";"685,188 ";"732,426 ";"0,000 ";"0,000 ";;;;;;;;;
23976050;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23795454;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700622358;"1858,096 ";"1281,047 ";"4022,311 ";"0,000 ";"0,000 ";;;;;;;;;
22831302;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700665757;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23621529;"6472,900 ";"4064,524 ";"4308,161 ";"0,000 ";"0,000 ";;;;;;;;;
23667850;"10188,154 ";"6854,734 ";"6232,003 ";"0,000 ";"0,000 ";;;;;;;;;
700459868;"1573,953 ";"1512,754 ";"1073,274 ";"0,000 ";"0,000 ";;;;;;;;;
23671245;"2356,272 ";"820,393 ";"246,665 ";"0,000 ";"0,000 ";;;;;;;;;
23900599;"1185,967 ";"639,697 ";"707,235 ";"0,000 ";"0,000 ";;;;;;;;;
23665656;"3049,657 ";"1175,057 ";"256,624 ";"0,000 ";"0,000 ";;;;;;;;;
23613654;"27260,205 ";"2945,080 ";"3103,581 ";"0,000 ";"0,000 ";;;;;;;;;
23292114;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23203764;"6331,091 ";"3405,806 ";"3153,345 ";"0,000 ";"0,000 ";;;;;;;;;
23227440;"7882,563 ";"5470,713 ";"4579,026 ";"0,000 ";"0,000 ";;;;;;;;;
23232593;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23685921;"4871,600 ";"2568,739 ";"2491,867 ";"0,000 ";"0,000 ";;;;;;;;;
22960385;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700757052;"91,961 ";"50,445 ";"52,202 ";"0,000 ";"0,000 ";;;;;;;;;
23608154;"3519,252 ";"2626,990 ";"2608,224 ";"0,000 ";"0,000 ";;;;;;;;;
23227873;"3645,027 ";"2279,138 ";"2115,803 ";"0,000 ";"0,000 ";;;;;;;;;
23604600;"3902,583 ";"2599,190 ";"1681,398 ";"0,000 ";"0,000 ";;;;;;;;;
700231933;"7439,989 ";"5710,408 ";"4081,795 ";"0,000 ";"0,000 ";;;;;;;;;
23623288;"2396,789 ";"1291,213 ";"1239,253 ";"0,000 ";"0,000 ";;;;;;;;;
23231939;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23636270;"6473,687 ";"3093,053 ";"3431,714 ";"0,000 ";"0,000 ";;;;;;;;;
23270290;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23852506;"5844,571 ";"3258,920 ";"3821,899 ";"0,000 ";"0,000 ";;;;;;;;;
23219784;"5831,677 ";"3566,671 ";"3510,103 ";"0,000 ";"0,000 ";;;;;;;;;
700792891;"255,510 ";"664,841 ";"422,448 ";"0,000 ";"0,000 ";;;;;;;;;
24382259;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23288416;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23624932;"7870,412 ";"2762,680 ";"407,900 ";"0,000 ";"0,000 ";;;;;;;;;
23602969;"7107,045 ";"4220,451 ";"3804,508 ";"0,000 ";"0,000 ";;;;;;;;;
23288760;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23613169;"7560,008 ";"4803,339 ";"4914,832 ";"0,000 ";"0,000 ";;;;;;;;;
23975997;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23238805;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23619789;"6378,171 ";"3851,018 ";"3360,940 ";"0,000 ";"0,000 ";;;;;;;;;
